time,algo,attack,efficacite,cout,robustesse,redondance,disparite,criticite
0,none,none,0.6938383838383786,5142,1.0,11.672053872053873,0.5409282118868192,0.0
0,KMeans,none,0.9038065843621399,774,1.0,1.867283950617284,0.23721397649969078,5.454545454545454
0,KMeans,none,0.9038065843621399,774,1.0,1.867283950617284,0.23721397649969078,5.454545454545454
1,none,none,0.6918181818181764,5158,1.0,11.505723905723906,0.536283654400359,0.0
1,KMeans,none,0.8911564625850341,956,1.0,2.877551020408163,0.3379403360172591,27.272727272727273
1,KMeans,none,0.8911564625850341,956,1.0,2.877551020408163,0.3379403360172591,27.272727272727273
2,none,none,0.6912570145903424,5164,1.0,11.662626262626263,0.5460539657668876,0.0
2,KMeans,none,0.9033659066232356,734,1.0,1.6221498371335505,0.20454090454090457,25.454545454545453
2,KMeans,none,0.9033659066232356,734,1.0,1.6221498371335505,0.20454090454090457,25.454545454545453
3,none,none,0.6918742985409596,5154,1.0,11.462626262626262,0.5453209038137361,0.0
3,KMeans,none,0.9018087855297158,926,1.0,2.7286821705426356,0.3838041260027075,16.363636363636363
3,KMeans,none,0.9018087855297158,926,1.0,2.7286821705426356,0.3838041260027075,16.363636363636363
4,none,none,0.6929180695847309,5136,1.0,11.478787878787879,0.5516264886830475,0.0
4,KMeans,none,0.9185288640595904,834,1.0,2.1731843575418996,0.2889078033078033,25.454545454545453
4,KMeans,none,0.9185288640595904,834,1.0,2.1731843575418996,0.2889078033078033,25.454545454545453
5,none,none,0.6934343434343377,5130,1.0,11.037710437710437,0.5554293559864483,0.0
5,KMeans,none,0.9403225806451613,694,1.0,1.8161290322580645,0.2086661002548853,32.72727272727273
5,KMeans,none,0.9403225806451613,694,1.0,1.8161290322580645,0.2086661002548853,32.72727272727273
6,none,none,0.6923681257014535,5154,1.0,11.42020202020202,0.5574130009705686,0.0
6,KMeans,none,0.9186507936507937,784,1.0,1.6726190476190477,0.19981626560573928,14.545454545454545
6,KMeans,none,0.9186507936507937,784,1.0,1.6726190476190477,0.19981626560573928,14.545454545454545
7,none,none,0.6910774410774353,5174,1.0,12.194612794612794,0.5499124464530465,0.0
7,KMeans,none,0.907692307692308,774,1.0,1.646153846153846,0.21830658050170246,23.636363636363637
7,KMeans,none,0.907692307692308,774,1.0,1.646153846153846,0.21830658050170246,23.636363636363637
8,none,none,0.6924803591470201,5152,1.0,11.562962962962963,0.5505191851683989,0.0
8,KMeans,none,0.9184782608695652,856,1.0,2.078804347826087,0.23709479820590934,21.818181818181817
8,KMeans,none,0.9184782608695652,856,1.0,2.078804347826087,0.23709479820590934,21.818181818181817
9,none,none,0.6932659932659877,5146,1.0,11.62020202020202,0.5526526040713831,0.0
9,KMeans,none,0.9193037974683544,734,1.0,2.069620253164557,0.23555282637851443,18.181818181818183
9,KMeans,none,0.9193037974683544,734,1.0,2.069620253164557,0.23555282637851443,18.181818181818183
10,none,none,0.6936026936026881,5144,1.0,11.687542087542088,0.5546379322600085,0.0
10,KMeans,none,0.9387096774193548,696,1.0,1.835483870967742,0.21455048519268702,32.72727272727273
10,KMeans,none,0.9387096774193548,696,1.0,1.835483870967742,0.21455048519268702,32.72727272727273
11,none,none,0.6926487093153703,5154,1.0,11.59057239057239,0.5501647850963274,0.0
11,KMeans,none,0.914717348927875,806,1.0,2.7923976608187133,0.28485313898699727,32.72727272727273
11,KMeans,none,0.914717348927875,806,1.0,2.7923976608187133,0.28485313898699727,32.72727272727273
12,none,none,0.6918630751964029,5160,1.0,11.624242424242425,0.550111116549751,0.0
12,KMeans,none,0.8941176470588236,828,1.0,1.8058823529411765,0.16652452025586353,10.909090909090908
12,KMeans,none,0.8941176470588236,828,1.0,1.8058823529411765,0.16652452025586353,10.909090909090908
13,none,none,0.69231200897867,5156,1.0,11.545454545454545,0.5612264072096514,0.0
13,KMeans,none,0.9162621359223301,962,1.0,2.4902912621359223,0.27672378790799845,7.2727272727272725
13,KMeans,none,0.9162621359223301,962,1.0,2.4902912621359223,0.27672378790799845,7.2727272727272725
14,none,none,0.6930976430976373,5150,1.0,11.655218855218855,0.5658916851610888,0.0
14,KMeans,none,0.910990009082652,874,1.0,2.534059945504087,0.25834202294056313,12.727272727272727
14,KMeans,none,0.910990009082652,874,1.0,2.534059945504087,0.25834202294056313,12.727272727272727
15,none,none,0.6932098765432041,5148,1.0,11.62020202020202,0.5624261687775071,0.0
15,KMeans,none,0.8694915254237288,748,1.0,2.1864406779661016,0.2826929121483577,36.36363636363637
15,KMeans,none,0.8694915254237288,748,1.0,2.1864406779661016,0.2826929121483577,36.36363636363637
16,none,none,0.693041526374854,5146,1.0,11.445791245791245,0.5384780770681905,0.0
16,KMeans,none,0.9314868804664723,780,1.0,2.0466472303206995,0.24057219662058374,10.909090909090908
16,KMeans,none,0.9314868804664723,780,1.0,2.0466472303206995,0.24057219662058374,10.909090909090908
17,none,none,0.6933782267115542,5144,1.0,11.432996632996632,0.5430566886799336,0.0
17,KMeans,none,0.9307228915662651,756,1.0,1.9728915662650603,0.23726088726088726,18.181818181818183
17,KMeans,none,0.9307228915662651,756,1.0,1.9728915662650603,0.23726088726088726,18.181818181818183
18,none,none,0.6937149270482547,5142,1.0,11.812121212121212,0.552159412576281,0.0
18,KMeans,none,0.8985042735042733,756,0.9807692307692307,1.8333333333333333,0.20318309141838553,18.181818181818183
18,KMeans,none,0.8985042735042733,756,0.9807692307692307,1.8333333333333333,0.20318309141838553,18.181818181818183
19,none,none,0.6937149270482547,5142,1.0,11.812121212121212,0.5549563485327816,0.0
19,KMeans,none,0.9049079754601227,780,1.0,2.588957055214724,0.33123791413265097,25.454545454545453
19,KMeans,none,0.9049079754601227,780,1.0,2.588957055214724,0.33123791413265097,25.454545454545453
20,none,none,0.6943883277216553,5138,1.0,11.92053872053872,0.5539753754732776,0.0
20,KMeans,none,0.9444444444444444,640,1.0,1.5173611111111112,0.16892857142857143,32.72727272727273
20,KMeans,none,0.9444444444444444,640,1.0,1.5173611111111112,0.16892857142857143,32.72727272727273
21,none,none,0.6948372615039224,5134,1.0,11.835016835016836,0.5530829182732274,0.0
21,KMeans,none,0.9262536873156342,778,1.0,2.0973451327433628,0.3000301520462811,29.09090909090909
21,KMeans,none,0.9262536873156342,778,1.0,2.0973451327433628,0.3000301520462811,29.09090909090909
22,none,none,0.6958473625140235,5128,1.0,12.047138047138047,0.5513905566398082,0.0
22,KMeans,none,0.8884408602150538,922,1.0,3.349462365591398,0.3134876838958472,18.181818181818183
22,KMeans,none,0.8884408602150538,922,1.0,3.349462365591398,0.3134876838958472,18.181818181818183
23,none,none,0.6940740740740683,5152,1.0,13.69023569023569,0.5475747965042681,0.0
23,KMeans,none,0.9039548022598867,852,1.0,2.494350282485876,0.2816701680672269,21.818181818181817
23,KMeans,none,0.9039548022598867,852,1.0,2.494350282485876,0.2816701680672269,21.818181818181817
24,none,none,0.6923905723905666,5166,1.0,13.62962962962963,0.5483658330100708,0.0
24,KMeans,none,0.9020562770562768,742,1.0,1.853896103896104,0.22539417104634496,29.09090909090909
24,KMeans,none,0.9020562770562768,742,1.0,1.853896103896104,0.22539417104634496,29.09090909090909
25,none,none,0.6917732884399495,5174,1.0,13.633670033670034,0.5425531195713089,0.0
25,KMeans,none,0.9362416107382551,672,1.0,1.5604026845637584,0.16130243764172336,18.181818181818183
25,KMeans,none,0.9362416107382551,672,1.0,1.5604026845637584,0.16130243764172336,18.181818181818183
26,none,none,0.6930078563411841,5164,1.0,14.133333333333333,0.5462851419431161,0.0
26,KMeans,none,0.904838709677419,746,1.0,2.1580645161290324,0.20982905982905983,12.727272727272727
26,KMeans,none,0.904838709677419,746,1.0,2.1580645161290324,0.20982905982905983,12.727272727272727
27,none,none,0.6926711560044837,5166,1.0,14.067340067340067,0.5448021181023807,0.0
27,KMeans,none,0.9283536585365854,750,1.0,1.875,0.2347919347919348,20.0
27,KMeans,none,0.9283536585365854,750,1.0,1.875,0.2347919347919348,20.0
28,none,none,0.6934567901234511,5160,1.0,14.262626262626263,0.5334017206886341,0.0
28,KMeans,none,0.8904267589388698,710,1.0,2.0899653979238755,0.23840214636062387,41.81818181818182
28,KMeans,none,0.8904267589388698,710,1.0,2.0899653979238755,0.23840214636062387,41.81818181818182
29,none,none,0.693569023569018,5158,1.0,14.258585858585858,0.5383097373866212,0.0
29,KMeans,none,0.899425287356322,840,1.0,1.9971264367816093,0.23803398692810457,14.545454545454545
29,KMeans,none,0.899425287356322,840,1.0,1.9971264367816093,0.23803398692810457,14.545454545454545
30,none,none,0.693569023569018,5158,1.0,14.287542087542088,0.5419585793068284,0.0
30,KMeans,none,0.9279959718026182,760,1.0,2.0302114803625377,0.22564958643390015,30.90909090909091
30,KMeans,none,0.9279959718026182,760,1.0,2.0302114803625377,0.22564958643390015,30.90909090909091
31,none,none,0.6928956228956172,5162,1.0,14.182491582491583,0.5405336478356674,0.0
31,KMeans,none,0.8823082763857252,1098,1.0,2.7494305239179955,0.2612232697478599,3.6363636363636362
